,Gene,Gene_name,Vanc_l2fc,Vanc_q,Rif_l2fc,Rif_q,INH_l2fc,INH_q,Emb_l2fc,Emb_q
2105,RVBD1483,fabG1,0.00,1,0.00,1,0.00,1,0.00,1
2106,RVBD1484,inhA,0.00,1,0.00,1,0.00,1,0.00,1
2107,RVBD1485,hemZ,0.00,1,0.00,1,-1.25,1,-1.15,1
2108,RVBD1536,ileS,0.00,1,0.00,1,-1.75,1,-1.15,1
2109,RVBD1547,dnaE1,0.00,1,0.00,1,0.00,1,0.00,1
2110,RVBD1559,ilvA,0.00,1,0.00,1,0.00,1,0.00,1
2111,RVBD1573,rv1573,0.00,1,0.00,1,0.00,1,0.00,1
2112,RVBD1576c,rv1576c,0.00,1,0.00,1,0.00,1,0.00,1
2113,RVBD1594,nadA,0.00,1,0.00,1,0.00,1,0.00,1
2114,RVBD1595,nadB,0.00,1,0.00,1,-1.00,1,0.00,1
2115,RVBD1596,nadC,0.00,1,0.00,1,0.00,1,0.00,1
2116,RVBD1599,hisD,0.00,1,0.00,1,0.00,1,0.00,1
2117,RVBD1600,hisC1,0.00,1,0.00,1,0.00,1,0.00,1
2118,RVBD1601,hisB,0.00,1,0.00,1,0.00,1,0.00,1
2119,RVBD1602,hisH,0.00,1,0.00,1,0.00,1,0.00,1
2120,RVBD1603,hisA,0.00,1,0.00,1,0.00,1,0.00,1
2121,RVBD1605,hisF,0.00,1,0.00,1,0.00,1,0.00,1
2122,RVBD1606,hisI,0.00,1,0.00,1,0.00,1,0.00,1
2123,RVBD1609,trpE,0.00,1,0.00,1,0.00,1,0.00,1
2124,RVBD1610,rv1610,0.00,1,0.00,1,0.00,1,0.00,1
2125,RVBD1611,trpC,0.00,1,0.00,1,-0.32,1,-0.15,1
2126,RVBD1612,trpB,0.00,1,0.00,1,0.58,1,0.00,1
2127,RVBD1613,trpA,0.00,1,0.00,1,0.00,1,0.00,1
2128,RVBD1617,pykA,0.00,1,0.00,1,0.00,1,0.00,1
2129,RVBD1620c,cydC,0.00,1,-0.27,1,1.14,1,-0.46,1
2130,RVBD1636,TB15.3,0.00,1,0.00,1,0.00,1,-0.42,1
2131,RVBD1642,rpmI,0.00,1,0.00,1,0.00,1,0.00,1
2132,RVBD1643,rplT,0.00,1,0.00,1,0.00,1,0.00,1
2133,RVBD1649,pheS,0.00,1,0.00,1,0.00,1,0.00,1
2134,RVBD1650,pheT,0.00,1,0.00,1,-1.32,1,-0.15,1
2135,RVBD1652,argC,0.00,1,0.00,1,0.58,1,0.00,1
2136,RVBD1653,argJ,0.00,1,0.00,1,0.00,1,0.00,1
2137,RVBD1654,argB,0.00,1,0.00,1,0.00,1,0.00,1
2138,RVBD1655,argD,0.00,1,0.00,1,-0.32,1,-0.15,1
2139,RVBD1656,argF,0.00,1,0.00,1,0.00,1,0.00,1
2140,RVBD1658,argG,0.00,1,0.00,1,-0.32,1,-0.15,1
2141,RVBD1659,argH,0.00,1,0.00,1,0.00,1,0.00,1
2142,RVBD1684,rv1684,0.00,1,0.00,1,0.00,1,0.00,1
2143,RVBD1689,tyrS,0.00,1,0.00,1,0.00,1,-0.42,1
2144,RVBD1695,ppnK,0.00,1,0.00,1,0.00,1,0.00,1
2145,RVBD1699,pyrG,0.00,1,0.00,1,-0.32,1,-0.15,1
2146,RVBD1713,engA,0.00,1,0.00,1,-0.32,1,-0.15,1
2147,RVBD1795,eccD5,0.00,1,-2.39,1,0.00,1,0.00,1
2148,RVBD1805c,rv1805c,0.00,1,0.00,1,0.70,1,-0.42,1
2149,RVBD1826,gcvH,0.00,1,0.00,1,0.58,1,0.00,1
2150,RVBD1827,garA,0.00,1,0.00,1,0.00,1,0.00,1
2151,RVBD1828,rv1828,0.00,1,0.00,1,0.00,1,0.00,1
2152,RVBD1832,gcvB,0.00,1,0.00,1,0.26,1,-0.15,1
2153,RVBD1837c,glcB,0.00,1,0.00,1,0.00,1,0.00,1
2154,RVBD1888A,rv1888A,0.00,1,0.00,1,0.00,1,0.00,1
2155,RVBD1893,rv1893,0.00,1,0.00,1,0.00,1,0.00,1
2156,RVBD1990c,rv1990c,0.00,1,0.00,1,0.00,1,0.00,1
2157,RVBD2017,rv2017,0.00,1,0.00,1,0.00,1,0.00,1
2158,RVBD2093c,tatC,0.00,1,0.00,1,0.00,1,0.00,1
2159,RVBD2110c,prcB,0.00,1,0.00,1,0.00,1,0.00,1
2160,RVBD2111c,pup,0.00,1,0.00,1,0.00,1,0.00,1
2161,RVBD2121c,hisG,0.00,1,0.00,1,0.00,1,0.00,1
2162,RVBD2122c,hisE,0.00,1,0.00,1,0.00,1,0.00,1
2163,RVBD2130c,mshC,0.00,1,-1.09,1,0.58,1,-0.42,1
2164,RVBD2145c,wag31,0.00,1,0.00,1,0.00,1,0.00,1
2165,RVBD2150c,ftsZ,0.00,1,0.00,1,0.00,1,0.00,1
2166,RVBD2152c,murC,0.00,1,0.00,1,0.00,1,0.00,1
2167,RVBD2153c,murG,0.00,1,0.00,1,0.00,1,0.00,1
2168,RVBD2155c,murD,0.00,1,0.00,1,0.00,1,0.00,1
2169,RVBD2156c,murX,0.00,1,0.00,1,0.58,1,0.00,1
2170,RVBD2157c,murF,0.00,1,0.00,1,0.00,1,0.00,1
2171,RVBD2158c,murE,0.00,1,0.00,1,0.00,1,0.00,1
2172,RVBD2160A,rv2160A,0.00,1,0.32,1,-0.32,1,2.04,1
2173,RVBD2163c,pbpB,0.00,1,0.00,1,0.00,1,0.00,1
2174,RVBD2164c,rv2164c,0.00,1,0.00,1,0.00,1,0.00,1
2175,RVBD2172c,rv2172c,0.00,1,0.00,1,0.46,1,0.00,1
2176,RVBD2178c,aroG,0.00,1,0.00,1,-0.32,1,-0.15,1
2177,RVBD2182c,rv2182c,0.00,1,0.00,1,0.58,1,0.00,1
2178,RVBD2186c,rv2186c,0.00,1,0.32,1,0.00,1,-0.55,1
2179,RVBD2188c,pimB,0.00,1,1.81,1,0.00,1,0.00,1
2180,RVBD2192c,trpD,0.00,1,0.00,1,0.00,1,0.00,1
2181,RVBD2193,ctaE,0.00,1,0.00,1,0.58,1,0.00,1
2182,RVBD2194,qcrC,0.00,1,0.00,1,0.00,1,0.00,1
2183,RVBD2195,qcrA,0.00,1,0.00,1,0.00,1,1.17,1
2184,RVBD2200c,ctaC,0.00,1,0.00,1,0.00,1,0.00,1
2185,RVBD2201,asnB,0.00,1,0.00,1,0.58,1,0.00,1
2186,RVBD2202c,adoK,0.00,1,1.91,1,2.73,1,1.43,1
2187,RVBD2204c,rv2204c,0.00,1,0.00,1,0.00,1,0.00,1
2188,RVBD2210c,ilvE,0.00,1,0.00,1,0.00,1,0.00,1
2189,RVBD2211c,gcvT,0.00,1,0.00,1,-0.32,1,0.14,1
2190,RVBD2218,lipA,0.00,1,0.00,1,0.00,1,0.00,1
2191,RVBD2220,glnA1,0.00,1,0.00,1,0.00,1,0.00,1
2192,RVBD2225,panB,0.00,1,0.00,1,0.00,1,0.00,1
2193,RVBD2235,rv2235,0.00,1,1.32,1,0.58,1,0.00,1
2194,RVBD2243,fabD,0.00,1,0.00,1,-0.32,1,-0.15,1
2195,RVBD2244,acpM,0.00,1,0.00,1,0.00,1,0.00,1
2196,RVBD2245,kasA,0.00,1,0.00,1,0.00,1,0.00,1
2197,RVBD2247,accD6,0.00,1,0.00,1,0.00,1,0.00,1
2198,RVBD2331,rv2331,0.00,1,-0.44,1,0.81,1,0.33,1
2199,RVBD2343c,dnaG,0.00,1,0.00,1,0.00,1,0.00,1
2200,RVBD2357c,glyS,0.00,1,0.00,1,0.70,1,0.29,1
2201,RVBD2361c,rv2361c,0.00,1,0.00,1,0.00,1,-0.42,1
2202,RVBD2371,PE_PGRS40,0.00,1,0.00,1,0.00,1,0.00,1
2203,RVBD2373c,dnaJ2,0.00,1,1.32,1,0.58,1,1.15,1
2204,RVBD2401A,rv2401A,0.00,1,0.00,1,0.00,1,0.00,1
2205,RVBD2412,rpsT,0.00,1,0.00,1,0.00,1,0.00,1
2206,RVBD2413c,rv2413c,0.00,1,0.00,1,0.00,1,0.00,1
2207,RVBD2421c,nadD,0.00,1,0.00,1,0.00,1,0.00,1
2208,RVBD2427Ac,oxyR',0.00,1,0.00,1,0.00,1,0.00,1
2209,RVBD2439c,proB,0.00,1,0.00,1,0.00,1,0.00,1
2210,RVBD2440c,obg,0.00,1,0.00,1,0.00,1,0.00,1
2211,RVBD2441c,rpmA,0.00,1,0.00,1,0.00,1,0.00,1
2212,RVBD2442c,rplU,0.00,1,0.00,1,0.00,1,0.00,1
2213,RVBD2445c,ndkA,0.00,1,0.00,1,0.00,1,0.74,1
2214,RVBD2448c,valS,0.00,1,0.00,1,0.00,1,0.00,1
2215,RVBD2460c,clpP2,0.00,1,0.00,1,0.00,1,0.00,1
2216,RVBD2477c,rv2477c,0.00,1,-1.09,1,0.00,1,1.64,1
2217,RVBD2493,vapB38,0.00,1,0.00,1,0.00,1,0.00,1
2218,RVBD2509,rv2509,0.00,1,0.00,1,0.00,1,0.00,1
2219,RVBD2520c,rv2520c,0.00,1,0.00,1,0.00,1,0.00,1
2220,RVBD2523c,acpS,0.00,1,0.00,1,0.00,1,0.00,1
2221,RVBD2524c,fas,0.00,1,0.00,1,0.00,1,0.00,1
2222,RVBD2526,vapB17,0.00,1,0.00,1,0.00,1,0.00,1
2223,RVBD2533c,nusB,0.00,1,0.00,1,0.00,1,-0.42,1
2224,RVBD2534c,efp,0.00,1,0.00,1,0.00,1,0.00,1
2225,RVBD2537c,aroD,0.00,1,0.00,1,0.00,1,0.00,1
2226,RVBD2538c,aroB,0.00,1,0.00,1,0.58,1,0.00,1
2227,RVBD2539c,aroK,0.00,1,0.00,1,0.00,1,0.00,1
2228,RVBD2540c,aroF,0.00,1,0.00,1,0.00,1,0.00,1
2229,RVBD2552c,aroE,0.00,1,0.00,1,0.00,1,0.00,1
2230,RVBD2572c,aspS,0.00,1,0.00,1,0.58,1,0.00,1
2231,RVBD2580c,hisS,0.00,1,0.00,1,0.00,1,0.00,1
2232,RVBD2594c,ruvC,0.00,1,0.00,1,0.00,1,-0.92,1
2233,RVBD2595,vapB40,0.00,1,0.00,1,0.00,1,0.00,1
2234,RVBD2610c,pimA,0.00,1,0.00,1,0.00,1,0.00,1
2235,RVBD2611c,rv2611c,0.00,1,0.00,1,0.00,1,0.00,1
2236,RVBD2612c,pgsA1,0.00,1,0.00,1,0.00,1,0.00,1
2237,RVBD2614c,thrS,0.00,1,0.00,1,0.00,1,0.00,1
2238,RVBD2651c,rv2651c,0.00,1,0.00,1,0.00,1,0.00,1
2239,RVBD2653c,rv2653c,0.00,1,0.00,1,0.00,1,0.00,1
2240,RVBD2654c,rv2654c,0.00,1,0.00,1,0.00,1,0.00,1
2241,RVBD2664,rv2664,0.00,1,0.00,1,0.00,1,0.00,1
2242,RVBD2673,aftC,0.00,1,0.00,1,0.00,1,0.00,1
2243,RVBD2676c,rv2676c,0.00,1,0.00,1,0.00,1,0.00,1
2244,RVBD2677c,hemY,0.00,1,0.00,1,0.00,1,0.00,1
2245,RVBD2678c,hemE,0.00,1,0.00,1,0.00,1,0.00,1
2246,RVBD2682c,dxs1,0.00,1,0.00,1,0.00,1,0.00,1
2247,RVBD2697c,dut,0.00,1,0.00,1,0.00,1,0.00,1
2248,RVBD2698,rv2698,0.00,1,0.00,1,0.00,1,0.00,1
2249,RVBD2699c,rv2699c,0.00,1,0.00,1,0.00,1,0.00,1
2250,RVBD2703,sigA,0.00,1,0.00,1,0.58,1,0.00,1
2251,RVBD2720,lexA,0.00,1,0.00,1,0.00,1,0.00,1
2252,RVBD2746c,pgsA3,0.00,1,0.00,1,0.00,1,0.00,1
2253,RVBD2747,argA,0.00,1,0.00,1,0.00,1,0.00,1
2254,RVBD2753c,dapA,0.00,1,0.00,1,0.00,1,0.00,1
2255,RVBD2754c,thyX,0.00,1,0.00,1,0.00,1,0.00,1
2256,RVBD2763c,dfrA,0.00,1,0.00,1,0.00,1,0.00,1
2257,RVBD2764c,thyA,0.00,1,0.00,1,0.00,1,0.00,1
2258,RVBD2786c,ribF,0.00,1,0.00,1,0.00,1,0.00,1
2259,RVBD2794c,pptT,0.00,1,0.00,1,0.00,1,-0.42,1
2260,RVBD2830c,vapB22,0.00,1,0.00,1,0.00,1,0.00,1
2261,RVBD2839c,infB,0.00,1,0.00,1,0.00,1,0.00,1
2262,RVBD2841c,nusA,0.00,1,0.00,1,0.00,1,0.00,1
2263,RVBD2845c,proS,0.00,1,0.00,1,0.00,1,0.00,1
2264,RVBD2846c,efpA,0.00,1,0.00,1,-0.32,1,-0.15,1
2265,RVBD2868c,gcpE,0.00,1,0.00,1,0.00,1,0.00,1
2266,RVBD2883c,pyrH,0.00,1,0.00,1,0.00,1,0.00,1
2267,RVBD2889c,tsf,0.00,1,0.00,1,-0.32,1,-0.15,1
2268,RVBD2890c,rpsB,0.00,1,0.00,1,0.00,1,0.00,1
2269,RVBD2903c,lepB,0.00,1,0.00,1,0.00,1,0.00,1
2270,RVBD2906c,trmD,0.00,1,0.00,1,0.00,1,0.00,1
2271,RVBD2921c,ftsY,0.00,1,0.00,1,0.00,1,0.00,1
2272,RVBD2965c,kdtB,0.00,1,0.00,1,0.00,1,0.00,1
2273,RVBD2968c,rv2968c,0.00,1,0.00,1,-0.32,1,-0.15,1
2274,RVBD2969c,rv2969c,0.00,1,0.00,1,0.00,1,0.00,1
2275,RVBD2971,rv2971,0.00,1,0.00,1,0.70,1,0.00,1
2276,RVBD2975A,rv2974c,0.00,1,0.00,1,0.00,1,0.00,1
2277,RVBD2977c,thiL,0.00,1,0.00,1,0.00,1,0.29,1
2278,RVBD2981c,ddlA,0.00,1,0.32,1,0.00,1,0.00,1
2279,RVBD2984,ppk1,0.00,1,0.00,1,0.00,1,0.00,1
2280,RVBD2986c,hupB,0.00,1,0.00,1,0.00,1,0.00,1
2281,RVBD2987c,leuD,0.00,1,0.00,1,0.14,1,-0.15,1
2282,RVBD2988c,leuC,0.00,1,0.00,1,0.00,1,0.00,1
2283,RVBD2992c,gltS,0.00,1,0.00,1,0.00,1,0.00,1
2284,RVBD2995c,leuB,0.00,1,0.00,1,-0.32,1,-0.15,1
2285,RVBD2996c,serA1,0.00,1,0.00,1,0.00,1,0.00,1
2286,RVBD2998A,rv2998A,0.00,1,0.00,1,0.00,1,0.00,1
2287,RVBD3001c,ilvC,0.00,1,0.00,1,0.58,1,0.00,1
2288,RVBD3003c,ilvB1,0.00,1,0.00,1,0.58,1,0.00,1
2289,RVBD3006,lppZ,0.00,1,0.00,1,0.00,1,0.00,1
2290,RVBD3009c,gatB,0.00,1,0.00,1,0.00,1,0.00,1
2291,RVBD3011c,gatA,0.00,1,0.00,1,0.00,1,-0.42,1
2292,RVBD3012c,gatC,0.00,1,0.00,1,0.00,1,0.00,1
2293,RVBD3014c,ligA,0.00,1,0.00,1,0.00,1,0.00,1
2294,RVBD3018Bc,PE27A,0.00,1,0.00,1,0.00,1,0.00,1
2295,RVBD3028c,fixB,0.00,1,0.00,1,0.00,1,0.00,1
2296,RVBD3029c,fixA,0.00,1,0.00,1,0.00,1,0.00,1
2297,RVBD3031,rv3031,0.00,1,0.32,1,0.00,1,0.00,1
2298,RVBD3038c,rv3038c,0.00,1,0.00,1,0.00,1,0.00,1
2299,RVBD3042c,serB2,0.00,1,0.00,1,-0.32,1,-0.15,1
2300,RVBD3043c,ctaD,0.00,1,0.00,1,-0.32,1,-0.15,1
2301,RVBD3048c,nrdF2,0.00,1,0.00,1,0.58,1,0.32,1
2302,RVBD3051c,nrdE,0.00,1,0.00,1,0.00,1,0.00,1
2303,RVBD3052c,nrdI,0.00,1,0.00,1,-0.32,1,-0.15,1
2304,RVBD3100c,smpB,0.00,1,0.00,1,0.00,1,0.00,1
2305,RVBD3105c,prfB,0.00,1,0.00,1,0.00,1,0.29,1
2306,RVBD3137,rv3137,0.00,1,0.00,1,0.00,1,0.00,1
2307,RVBD3215,entC,0.00,1,-1.32,1,0.00,1,-2.19,1
2308,RVBD3219,whiB1,0.00,1,0.00,1,0.00,1,0.00,1
2309,RVBD3221c,TB7.3,0.00,1,0.00,1,0.00,1,0.00,1
2310,RVBD3222c,rv3222c,0.00,1,0.00,1,0.00,1,0.00,1
2311,RVBD3227,aroA,0.00,1,0.00,1,0.00,1,0.00,1
2312,RVBD3244c,lpqB,0.00,1,0.00,1,0.00,1,-0.42,1
2313,RVBD3245c,mtrB,0.00,1,0.00,1,0.00,1,-0.92,1
2314,RVBD3246c,mtrA,0.00,1,0.32,1,0.00,1,0.00,1
2315,RVBD3247c,tmk,0.00,1,0.00,1,0.00,1,0.00,1
2316,RVBD3248c,sahH,0.00,1,0.00,1,0.00,1,0.00,1
2317,RVBD3255c,manA,0.00,1,0.00,1,-0.32,1,-0.15,1
2318,RVBD3260c,whiB2,0.00,1,0.00,1,0.00,1,0.00,1
2319,RVBD3264c,manB,0.00,1,0.00,1,0.00,1,0.00,1
2320,RVBD3265c,wbbL1,0.00,1,0.00,1,0.00,1,0.00,1
2321,RVBD3266c,rmlD,0.00,1,0.00,1,0.00,1,0.00,1
2322,RVBD3275c,purE,0.00,1,0.00,1,0.00,1,0.00,1
2323,RVBD3276c,purK,0.00,1,0.00,1,0.00,1,0.00,1
2324,RVBD3279c,birA,0.00,1,0.00,1,0.00,1,0.00,1
2325,RVBD3280,accD5,0.00,1,0.00,1,0.00,1,0.00,1
2326,RVBD3281,accE5,0.00,1,0.00,1,0.00,1,0.00,1
2327,RVBD3285,accA3,0.00,1,0.00,1,0.58,1,0.00,1
2328,RVBD3336c,trpS,0.00,1,0.00,1,0.00,1,0.00,1
2329,RVBD3341,metA,0.00,1,0.00,1,0.00,1,0.00,1
2330,RVBD3356c,folD,0.00,1,0.00,1,0.00,1,0.00,1
2331,RVBD3372,otsB2,0.00,1,0.00,1,0.00,1,0.00,1
2332,RVBD3396c,guaA,0.00,1,0.00,1,0.00,1,-0.92,1
2333,RVBD3411c,guaB2,0.00,1,0.00,1,0.00,1,0.00,1
2334,RVBD3418c,groES,0.00,1,0.00,1,0.00,1,0.00,1
2335,RVBD3423c,alr,0.00,1,0.00,1,0.00,1,0.00,1
2336,RVBD3436c,glmS,0.00,1,0.00,1,0.00,1,0.00,1
2337,RVBD3441c,mrsA,0.00,1,0.00,1,0.58,1,0.00,1
2338,RVBD3442c,rpsI,0.00,1,0.00,1,0.00,1,0.00,1
2339,RVBD3443c,rplM,0.00,1,0.00,1,0.00,1,0.00,1
2340,RVBD3457c,rpoA,0.00,1,0.00,1,0.00,1,0.00,1
2341,RVBD3458c,rpsD,0.00,1,0.00,1,0.00,1,0.00,1
2342,RVBD3459c,rpsK,0.00,1,0.00,1,0.00,1,0.00,1
2343,RVBD3460c,rpsM,0.00,1,0.00,1,0.00,1,0.00,1
2344,RVBD3461c,rpmJ,0.00,1,0.00,1,0.00,1,-0.42,1
2345,RVBD3462c,infA,0.00,1,0.00,1,0.00,1,0.00,1
2346,RVBD3465,rmlC,0.00,1,0.00,1,0.00,1,0.00,1
2347,RVBD3579c,rv3579c,0.00,1,0.00,1,0.00,1,0.00,1
2348,RVBD3580c,cysS1,0.00,1,0.00,1,0.00,1,0.00,1
2349,RVBD3581c,ispF,0.00,1,0.00,1,0.00,1,0.00,1
2350,RVBD3582c,ispD,0.00,1,0.00,1,0.00,1,0.00,1
2351,RVBD3583c,rv3583c,0.00,1,0.00,1,0.00,1,0.00,1
2352,RVBD3587c,rv3587c,0.00,1,0.00,1,-0.32,1,-0.15,1
2353,RVBD3596c,clpC1,0.00,1,0.00,1,0.00,1,0.29,1
2354,RVBD3598c,lysS,0.00,1,0.00,1,-1.25,1,-1.15,1
2355,RVBD3599c,rv3599c,0.00,1,0.00,1,0.00,1,0.00,1
2356,RVBD3602c,panC,0.00,1,0.00,1,0.00,1,0.00,1
2357,RVBD3603c,rv3603c,0.00,1,0.00,1,0.00,1,0.00,1
2358,RVBD3604c,rv3604c,0.00,1,0.00,1,-1.86,1,-1.74,1
2359,RVBD3608c,folP1,0.00,1,0.00,1,0.00,1,0.00,1
2360,RVBD3609c,folE,0.00,1,0.00,1,0.00,1,0.00,1
2361,RVBD3613c,rv3613c,0.00,1,0.00,1,0.00,1,0.00,1
2362,RVBD3624c,hpt,0.00,1,0.00,1,0.00,1,0.00,1
2363,RVBD3625c,mesJ,0.00,1,0.00,1,0.00,1,0.00,1
2364,RVBD3627c,rv3627c,0.00,1,0.00,1,-0.32,1,-1.58,1
2365,RVBD3628,ppa,0.00,1,0.00,1,0.00,1,0.00,1
2366,RVBD3634c,galE1,0.00,1,0.00,1,0.46,1,0.00,1
2367,RVBD3635,rv3635,0.00,1,0.00,1,-1.25,1,-2.04,1
2368,RVBD3644c,rv3644c,0.00,1,0.00,1,0.00,1,0.29,1
2369,RVBD3648c,cspA,0.00,1,0.00,1,0.00,1,0.00,1
2370,RVBD3673c,rv3673c,0.00,1,0.00,1,0.00,1,0.00,1
2371,RVBD3708c,asd,0.00,1,0.00,1,0.58,1,0.00,1
2372,RVBD3709c,ask,0.00,1,0.32,1,0.00,1,0.29,1
2373,RVBD3710,leuA,0.00,1,0.00,1,0.58,1,0.00,1
2374,RVBD3712,rv3712,0.00,1,0.00,1,0.00,1,0.00,1
2375,RVBD3713,cobQ2,0.00,1,0.00,1,0.00,1,0.00,1
2376,RVBD3721c,dnaZX,0.00,1,0.00,1,0.00,1,0.00,1
2377,RVBD3752c,rv3752c,0.00,1,0.00,1,0.00,1,0.00,1
2378,RVBD3754,tyrA,0.00,1,0.00,1,0.00,1,0.00,1
2379,RVBD3778c,rv3778c,0.00,1,0.00,1,0.00,1,0.00,1
2380,RVBD3781,rfbE,0.00,1,0.00,1,-0.32,1,-0.15,1
2381,RVBD3782,glfT1,0.00,1,0.00,1,0.00,1,0.00,1
2382,RVBD3790,dprE1,0.00,1,0.00,1,-0.32,1,-0.15,1
2383,RVBD3792,aftA,0.00,1,0.00,1,-0.32,1,-1.29,1
2384,RVBD3793,embC,0.00,1,0.00,1,0.00,1,0.00,1
2385,RVBD3799c,accD4,0.00,1,0.00,1,0.00,1,0.00,1
2386,RVBD3800c,pks13,0.00,1,0.00,1,0.00,1,-0.92,1
2387,RVBD3801c,fadD32,0.00,1,0.00,1,0.00,1,-0.42,1
2388,RVBD3802c,rv3802c,0.00,1,0.00,1,1.58,1,0.00,1
2389,RVBD3806c,ubiA,0.00,1,0.00,1,0.00,1,0.00,1
2390,RVBD3808c,glfT2,0.00,1,0.00,1,0.00,1,0.00,1
2391,RVBD3809c,glf,0.00,1,0.00,1,0.00,1,0.00,1
2392,RVBD3834c,serS,0.00,1,0.00,1,0.58,1,0.00,1
2393,RVBD3838c,pheA,0.00,1,0.00,1,0.00,1,0.00,1
2394,RVBD3846,sodA,0.00,1,0.00,1,0.58,1,0.00,1
2395,RVBD3858c,gltD,0.00,1,0.00,1,0.00,1,0.00,1
2396,RVBD3861,rv3861,0.00,1,0.00,1,0.00,1,0.00,1
2397,RVBD3907c,pcnA,0.00,1,0.00,1,0.00,1,0.00,1
2398,RVBD3909,rv3909,0.00,1,0.00,1,0.58,1,0.00,1
2399,RVBD3913,trxB2,0.00,1,0.32,1,0.00,1,0.00,1
2400,RVBD3914,trxC,0.00,1,0.00,1,0.58,1,0.00,1
2401,RVBD3915,rv3915,0.00,1,0.00,1,-0.32,1,-0.15,1
2402,RVBD3917c,parB,0.00,1,0.00,1,-0.32,1,0.00,1
2403,RVBD3921c,rv3921c,0.00,1,0.00,1,0.00,1,0.00,1
2404,RVBD3924c,rpmH,0.00,1,0.00,1,0.00,1,0.00,1
2405,RVBD1731,gabD2,0.00,1,0.12,1,0.23,1,0.27,1
2406,RVBD0035,fadD34,0.00,1,0.01,1,-0.12,1,0.01,1
2407,RVBD1522c,mmpL12,0.00,1,-0.18,1,0.09,1,0.10,1
2408,RVBD0155,pntAa,0.00,1,0.39,1,1.46,0.131888,0.10,1
2409,RVBD0246,rv0246,0.00,1,-0.16,1,-0.25,1,0.44,1
2410,RVBD0629c,recD,0.00,1,0.33,1,-0.03,1,0.35,1
2411,RVBD3744,nmtR,0.00,1,-0.09,1,-0.20,1,-0.28,1
2412,RVBD3270,ctpC,0.00,1,0.51,1,2.02,0,-0.51,1
2413,RVBD0834c,PE_PGRS14,0.00,1,0.19,1,-0.38,1,0.30,1
2414,RVBD3278c,rv3278c,0.00,1,-0.14,1,0.82,1,-1.37,0.573907
2415,RVBD3684,rv3684,0.00,1,-0.45,1,-0.07,1,-0.28,1
2416,RVBD1242,vapC33,0.00,1,0.20,1,-0.10,1,0.24,1
2417,RVBD1858,modB,0.00,1,0.02,1,-0.05,1,0.06,1
2418,RVBD3388,PE_PGRS52,0.00,1,0.26,1,-0.50,1,0.41,1
2419,RVBD0739,rv0739,0.00,1,-0.07,1,-0.15,1,0.03,1
2420,RVBD3531c,rv3531c,0.00,1,-0.23,1,-0.08,1,-0.16,1
2421,RVBD3387,rv3387,0.00,1,0.16,1,-0.12,1,0.13,1
2422,RVBD0445c,sigK,0.00,1,-0.01,1,0.00,1,-0.05,1
2423,RVBD2759c,vapC42,0.00,1,0.01,1,-0.27,1,-0.31,1
2424,RVBD1750c,fadD1,0.00,1,0.11,1,0.00,1,-0.04,1
2425,RVBD3467,rv3467,0.00,1,-0.07,1,-0.16,1,-0.62,1
2426,RVBD3891c,esxD,0.00,1,-0.46,1,0.09,1,-0.07,1
2427,RVBD3885c,eccE2,0.00,1,-0.03,1,-0.25,1,0.05,1
2428,RVBD0301,vapC2,0.00,1,-0.12,1,0.07,1,-0.05,1
2429,RVBD3833,rv3833,0.00,1,-0.10,1,-0.08,1,0.00,1
2430,RVBD1749c,rv1749c,0.00,1,-0.02,1,-0.06,1,0.13,1
2431,RVBD1143,mcr,0.00,1,-0.03,1,0.06,1,-0.21,1
2432,RVBD2383c,mbtB,0.00,1,0.14,1,0.39,1,0.26,1
2433,RVBD1773c,rv1773c,0.00,1,0.14,1,-0.14,1,0.27,1
2434,RVBD3369,rv3369,0.00,1,-0.09,1,0.37,1,-0.09,1
2435,RVBD0425c,ctpH,0.00,1,0.24,1,0.36,1,-0.22,1
2436,RVBD0657c,vapB6,0.00,1,-0.09,1,-0.23,1,-0.22,1
2437,RVBD3681c,whiB4,0.00,1,0.26,1,-0.15,1,0.10,1
2438,RVBD2491,rv2491,0.00,1,-0.02,1,0.43,1,-1.09,1
2439,RVBD0598c,vapC27,0.00,1,0.18,1,-0.18,1,0.06,1
2440,RVBD1280c,oppA,0.00,1,-0.88,0.032452,0.21,1,-0.13,1
2441,RVBD2066,cobI,0.00,1,0.09,1,-0.14,1,0.04,1
2442,RVBD3381c,rv3381c,0.00,1,0.10,1,-0.11,1,0.26,1
2443,RVBD2297,rv2297,0.00,1,0.00,1,0.03,1,0.06,1
2444,RVBD1862,adhA,0.00,1,0.25,1,0.28,1,0.11,1
2445,RVBD2274c,mazF8,0.00,1,-0.19,1,0.08,1,-0.06,1
2446,RVBD2142c,parE2,0.00,1,0.09,1,0.20,1,0.28,1
2447,RVBD1191,rv1191,0.00,1,0.21,1,-0.18,1,-0.22,1
2448,RVBD0336,rv0336,0.00,1,0.16,1,-0.11,1,-0.11,1
2449,RVBD2824c,rv2824c,0.00,1,-0.16,1,0.11,1,0.16,1
2450,RVBD2001,rv2001,0.00,1,-0.04,1,0.03,1,0.01,1
2451,RVBD3233c,rv3233c,0.00,1,0.10,1,0.14,1,0.12,1
2452,RVBD1880c,cyp140,0.00,1,-0.19,1,-0.16,1,-0.75,1
2453,RVBD0182c,sigG,0.00,1,-0.37,1,-0.32,1,-0.49,1
2454,RVBD2646,rv2646,0.00,1,-0.17,1,0.17,1,-0.12,1
